datos_participante,ensayo,puerta_premio,puerta_elegida,resultado
2,1,0,1,0
60,2,0,1,0
0.25,3,0,0,1
0.75,4,1,0,0
NA,5,0,0,1
NA,6,1,0,0
NA,7,0,1,0
NA,8,0,1,0
NA,9,0,0,1
NA,10,0,0,1
NA,11,0,1,0
NA,12,0,0,1
NA,13,0,0,1
NA,14,1,0,0
NA,15,1,0,0
NA,16,1,0,0
NA,17,0,0,1
NA,18,0,0,1
NA,19,1,0,0
NA,20,1,1,1
NA,21,1,1,1
NA,22,0,0,1
NA,23,0,0,1
NA,24,0,0,1
NA,25,0,0,1
NA,26,0,1,0
NA,27,1,0,0
NA,28,0,1,0
NA,29,0,1,0
NA,30,0,1,0
NA,31,1,0,0
NA,32,1,1,1
NA,33,0,1,0
NA,34,0,0,1
NA,35,0,0,1
NA,36,1,0,0
NA,37,0,0,1
NA,38,1,0,0
NA,39,1,0,0
NA,40,0,1,0
NA,41,0,0,1
NA,42,0,0,1
NA,43,0,0,1
NA,44,0,0,1
NA,45,0,1,0
NA,46,0,0,1
NA,47,0,0,1
NA,48,0,0,1
NA,49,0,0,1
NA,50,1,0,0
NA,51,1,0,0
NA,52,1,0,0
NA,53,1,1,1
NA,54,0,1,0
NA,55,0,0,1
NA,56,1,0,0
NA,57,1,0,0
NA,58,0,0,1
NA,59,0,0,1
NA,60,0,0,1
NA,61,1,0,0
NA,62,1,1,1
NA,63,1,0,0
NA,64,1,1,1
NA,65,1,0,0
NA,66,1,0,0
NA,67,1,0,0
NA,68,1,0,0
NA,69,0,1,0
NA,70,1,0,0
NA,71,1,0,0
NA,72,1,0,0
NA,73,1,1,1
NA,74,1,1,1
NA,75,1,1,1
NA,76,1,1,1
NA,77,1,1,1
NA,78,0,1,0
NA,79,1,0,0
NA,80,1,1,1
NA,81,1,1,1
NA,82,0,1,0
NA,83,1,1,1
NA,84,1,1,1
NA,85,1,1,1
NA,86,0,1,0
NA,87,1,1,1
NA,88,1,1,1
NA,89,1,1,1
NA,90,0,1,0
NA,91,0,1,0
NA,92,1,0,0
NA,93,1,1,1
NA,94,1,1,1
NA,95,1,1,1
NA,96,1,1,1
NA,97,1,1,1
NA,98,0,0,1
NA,99,1,1,1
NA,100,1,1,1
